region,population
Altay,2380.8
Amur,807.8
Arkhangel'sk,1135.1
Astrakhan',1020
Belgorod,1549
Bryansk,1229.3
Vladimir,1401.4
Volgograd,2551.7
Vologda,1189.3
Voronezh,2332.3
Moscow City,12263.9
City of St. Petersburg,5208.7
Yevrey,167.3
Zabaykal'ye,1085.2
Ivanovo,1033.4
Irkutsk,2413.9
Kabardin-Balkar,861.5
Kaliningrad,972.7
Kaluga,1010.1
Kamchatka,316.7
Karachay-Cherkess,468.4
Kemerovo,2721.3
Kirov,1300.9
Kostroma,652.9
Krasnodar,5483.6
Krasnoyarsk,2862.7
Kurgan,865.9
Kursk,1118.7
Leningrad,1777.2
Lipetsk,1157
Maga Buryatdan,147.2
Moskva,7274.8
Murmansk,764.2
Nenets,43.6
Nizhegorod,3265.2
Novgorod,617.2
Novosibirsk,2754.5
Omsk,1978.3
Orenburg,1997.9
Orel,762.5
Penza,1352.2
Perm',2635.7
Primor'ye,1931.1
Pskov,648.8
Adygey,450.3
Gorno-Altay,214.4
Bashkortostan,4071.5
Buryat,980.4
Dagestan,3003
Ingush,468.3
Kalmyk,279.6
Karelia,631.2
Komi,860.6
Mariy-El,686.7
Mordovia,808.2
Sakha,958.3
North Ossetia,704.5
Tatarstan,3861.9
Tuva,314.7
Khakass,536.3
Rostov,4239
Ryazan',1132.8
Samara,3209.3
Saratov,2490.3
Sakhalin,487.8
Sverdlovsk,4328.7
Smolensk,961.7
Stavropol',2800.6
Tambov,1056.4
Tver',1309.9
Tomsk,1075.6
Tula,1510
Tyumen',1442
Udmurt,1517.3
Ul'yanovsk,1260.1
Khabarovsk,1336.5
Khanty-Mansiy,1619.4
Chelyabinsk,3499
Chechnya,1382.2
Chuvash,1237.4
Chukot,50.3
Yamal-Nenets,537
Yaroslavl',1271.8
